Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_price,Price,kilometers_driven_log,price_log,power_log,Brand,Model
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,11.57,5.4,10.98444491,1.686398954,4.591071262,Honda,Amaze
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,74,5,11.57,5.99,10.1266311,1.790091412,4.304065093,Maruti,Swift
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,11.57,6.34,11.25763314,1.846878768,4.428433007,Renault,Duster
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,11.57,28,11.2708539,3.33220451,5.121699513,Mercedes-Benz,New
BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190,5,47.87,18.55,10.40371724,2.920469789,5.247024072,BMW,3
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5,11.57,8.25,10.92219046,2.1102132,4.483002552,Maruti,S
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,11.57,23.5,10.93283908,3.157000421,5.176206228,Audi,A6
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80,5,11.57,1.87,10.7321922,0.625938431,4.382026635,Hyundai,i20
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,11.57,2.85,10.40426284,1.047318994,4.64053733,Volkswagen,Vento
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,11.57,4.25,10.85745935,1.446918983,4.75617306,Honda,City
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,11.57,4.25,10.89673933,1.446918983,4.14472077,Nissan,Micra
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,11.57,2.75,10.89673933,1.011600912,4.206184044,Maruti,Alto
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,10.57,9.9,10.5302278,2.292534757,4.485259889,Honda,WRV
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7,11.57,4,12.47609978,1.386294361,4.624972813,Toyota,Innova
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,11.57,7.75,11.03488966,2.047692843,4.686289237,Renault,Duster
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,11.57,6.75,11.3807075,1.909542505,4.92797806,Toyota,Corolla
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184,7,11.57,12.5,11.1844214,2.525728644,5.214935758,Mahindra,Ssangyong
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,11.57,11.5,10.46310334,2.442347035,5.190175208,Audi,A6
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,12.33,6.98,10.92289428,1.943048917,4.639571613,Volkswagen,Vento
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14,1061,64,5,11.57,1.85,11.3363792,0.615185639,4.158883083,Maruti,Wagon
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,11.12,8.63,10.82127716,2.155244505,4.483002552,Maruti,Vitara
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82,5,11.57,4.85,10.858999,1.578978705,4.406719247,Mahindra,KUV
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,11.57,28,11.35040654,3.33220451,5.540478924,Mercedes-Benz,M-Class
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,11.57,5,11.03488966,1.609437912,4.302712828,Volkswagen,Polo
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,11.57,1.25,11.40756495,0.223143551,3.835141961,Maruti,Alto
Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4,11.57,1.53,9.888272387,0.425267735,3.624340933,Tata,Nano
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77,6,11.57,5.58,10.00029661,1.719188776,4.343805422,Mahindra,KUV
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,11.57,4.74,10.47692171,1.556037136,4.417635062,Hyundai,i20
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,23.64,8.85,10.74449424,2.180417459,5.010101818,Hyundai,Elantra
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,11.57,10.11,10.85901823,2.313525033,4.927471053,Toyota,Corolla
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,11.57,4.25,10.96828449,1.446918983,4.720282993,Hyundai,Elantra
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,18.64,10.95,11.16625743,2.393339456,5.098035484,Toyota,Innova
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71,5,11.57,3.85,11.22524339,1.348073148,4.262679877,Hyundai,Xcent
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105,6,11.57,5.5,11.23585357,1.704748092,4.65396035,Mahindra,Thar
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,11.57,21.43,9.52134827,3.064791809,5.160950055,Audi,A4
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74,5,11.57,4.25,10.858999,1.446918983,4.304065093,Maruti,Swift
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75,5,11.57,3.3,10.87804719,1.193922468,4.317488114,Maruti,Swift
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74,5,11.57,3.85,11.09209288,1.348073148,4.304065093,Maruti,Swift
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82,5,11.57,3.6,10.89673933,1.280933845,4.406719247,Hyundai,Grand
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,11.57,3.99,10.57131693,1.383791231,4.636668853,Volkswagen,Vento
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5,11.57,3.3,9.71365788,1.193922468,3.975936331,Renault,KWID
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,11.57,2.07,10.37349118,0.727548607,4.368181228,Hyundai,i10
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,11.57,7.75,11.71023415,2.047692843,4.994505912,Nissan,X-Trail
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5,11.57,2.25,10.5789798,0.810930216,4.206184044,Maruti,Zen
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,19.34,16.5,9.998797732,2.803360381,4.995860009,Toyota,Innova
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20,1399,68,5,11.57,2.75,11.1844214,1.011600912,4.219507705,Ford,Figo
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186,5,11.57,26.7,10.96819829,3.284663565,5.225746674,Mercedes-Benz,New
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170,5,11.57,10,11.08214255,2.302585093,5.135798437,Mercedes-Benz,New
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25,1396,69,5,11.57,2.5,12.08953883,0.916290732,4.234106505,Tata,Indica
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140,5,11.57,13.5,11.09230611,2.602689685,4.941642423,Audi,A4
Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78,5,11.57,1.85,11.05089001,0.615185639,4.356708827,Honda,City
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0,1950,194,5,49.14,35.67,9.640107773,3.574309999,5.267858159,Mercedes-Benz,C-Class
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,11.57,8.15,11.05089001,2.098017927,4.483002552,Maruti,Ertiga
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,11.81,10.5,9.472704636,2.351375257,4.485259889,Hyundai,Creta
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500,5,11.57,14.5,11.19821472,2.674148649,6.214608098,Porsche,Cayenne
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140,7,11.57,9.65,10.92825594,2.266957915,4.941642423,Mahindra,XUV500
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,11.57,3.48,10.71836552,1.247032294,4.368181228,Hyundai,i10
Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,16.65,6.92,10.93428485,1.93441577,4.686750173,Nissan,Terrano
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,11.57,6.46,10.52674861,1.865629318,4.463606622,Honda,Brio
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,11.57,29.5,10.93310697,3.384390263,5.235058027,Audi,A6
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399,94,5,11.57,2,11.61828498,0.693147181,,Ford,Fiesta
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132,8,11.57,4.5,12.34583459,1.504077397,4.882801923,Toyota,Innova
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102,7,11.57,11.75,11.55214618,2.463853241,4.624972813,Toyota,Innova
Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,0,1086,94,5,11.57,1.3,11.38043353,0.262364264,,Hyundai,Santro
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74,5,11.57,3.75,11.46268425,1.32175584,4.304065093,Maruti,Swift
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,6.67,4.5,11.15625052,1.504077397,4.485259889,Tata,Zest
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18,1198,86.7,5,11.57,4.82,10.91406976,1.572773928,4.462453884,Honda,Amaze
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20,1399,68,5,11.57,2.8,11.16105326,1.029619417,4.219507705,Ford,Figo
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,11.57,3.11,11.5092989,1.134622726,4.303253954,Maruti,Ritz
Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,11.57,3.25,10.858999,1.178654996,4.764734756,Honda,City
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218,5,11.57,13.9,11.22524339,2.63188884,5.384495063,BMW,5
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,11.57,2.25,11.47189512,0.810930216,4.368181228,Hyundai,i10
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82,5,11.57,5.75,9.680344001,1.749199855,4.406719247,Hyundai,Grand
Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,17,1086,94,5,11.57,2.1,11.20836848,0.741937345,,Hyundai,Santro
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,11.57,5,9.849506439,1.609437912,4.462453884,Honda,Amaze
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13,2982,168.5,7,11.57,16.5,11.58058411,2.803360381,5.12693575,Toyota,Fortuner
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,11.57,39.58,10.78657304,3.67832394,5.160950055,Audi,A6
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,11.57,5.5,10.95080655,1.704748092,4.49803031,Ford,Ecosport
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140,7,11.57,8.1,10.96819829,2.091864062,4.941642423,Mahindra,XUV500
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,11.57,3.5,10.30895266,1.252762968,4.591071262,Honda,Amaze
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,11.57,2.79,10.44033174,1.026041596,4.302712828,Volkswagen,Polo
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110,5,11.57,3.45,11.15627909,1.238374231,4.700480366,Hyundai,Verna
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,11.57,4.45,11.03488966,1.492904096,4.206184044,Maruti,Wagon
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,11.57,2.65,11.03490579,0.97455964,4.639571613,Volkswagen,Polo
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23,1396,90,5,11.57,3.8,11.27667134,1.335001067,4.49980967,Hyundai,i20
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,11.57,4.65,10.31493473,1.53686722,4.417031744,Hyundai,i20
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67,7,6.45,3.95,10.39973746,1.373715579,4.204692619,Datsun,GO
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,11.57,9.8,10.30895266,2.282382386,5.486455309,Audi,A4
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17,1197,80,5,11.57,2.7,11.09741002,0.993251773,4.382026635,Hyundai,i20
Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14,796,35,5,11.57,2.41,11.44945304,0.879626748,3.555348061,Maruti,Omni
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,6.41,3.9,10.87804719,1.360976553,4.368181228,Toyota,Etios
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,11.57,24,11.26446411,3.17805383,5.601749749,Jaguar,XF
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16,2179,140,7,11.57,5.75,11.08214255,1.749199855,4.941642423,Mahindra,XUV500
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,11.57,5.25,10.59663473,1.658228077,4.83881837,Hyundai,Verna
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,27,19.25,10.30895266,2.957511061,5.144583267,Toyota,Innova
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73,5,5.13,3.91,10.5467352,1.363537374,4.290459441,Maruti,Eeco
Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,11.57,2.15,10.14643373,0.765467842,3.624340933,Tata,Nano
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190,5,54.43,20.75,10.93465934,3.032546247,5.247024072,BMW,3
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130,5,11.57,3.35,11.17167383,1.208960346,4.86753445,Honda,Civic
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,11.57,11.11,10.91508846,2.407845604,4.611152258,Toyota,Innova
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150,5,11.57,20,10.39513036,2.995732274,5.010635294,Volvo,V40
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,9.51,6.55,10.59368037,1.87946505,4.329943555,Nissan,Micra
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215,5,11.57,7,11.75978554,1.945910149,5.370638028,BMW,5
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,9.96,7.5,10.91508846,2.014903021,4.483002552,Maruti,Vitara
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,17,1086,94,5,11.57,0.85,11.53272809,-0.162518929,,Hyundai,Santro
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15,2143,107.3,5,11.57,16.75,10.89215476,2.818398258,4.67562865,Mercedes-Benz,B
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22,1582,126.2,5,14.44,10.95,9.235032985,2.393339456,4.83786795,Hyundai,Verna
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,11.57,2.45,10.68907717,0.896088025,4.206184044,Maruti,Wagon
Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,11.57,3.23,10.39464094,1.172482137,3.623807457,Tata,Nano
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120,8,11.57,7.75,10.6454249,2.047692843,4.787491743,Mahindra,Scorpio
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178,5,11.57,9.35,10.25245285,2.235376343,5.18178355,Mercedes-Benz,New
Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5,11.57,3.25,11.40645322,1.178654996,4.063197833,Maruti,Wagon
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152,5,11.57,5.25,10.77268668,1.658228077,5.023880521,Honda,CR-V
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,11.57,7.25,10.91508846,1.981001469,4.636668853,Volkswagen,Vento
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,11.57,7.47,10.6984013,2.010894999,4.511957804,Maruti,Ciaz
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16,2179,140,7,11.57,13.25,10.89673933,2.583997552,4.941642423,Mahindra,XUV500
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,11.57,5.81,10.31665625,1.759580571,4.452019006,Maruti,Ritz
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,4.53,2.6,11.39075783,0.955511445,4.206184044,Maruti,Alto
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19,2996,362.07,2,95.04,54,9.500918248,3.988984047,5.891837563,Mercedes-Benz,SLC
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17,1591,121.3,5,13.49,11.5,9.445017159,2.442347035,4.798266816,Hyundai,Verna
Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,11.57,1.6,11.45513744,0.470003629,3.835141961,Maruti,Alto
BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143,5,11.57,17.22,10.36788173,2.846071499,4.96284463,BMW,1
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19,1199,88.7,5,11.57,6,9.392661929,1.791759469,4.485259889,Honda,Jazz
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130,5,11.57,3.95,11.3916388,1.373715579,4.86753445,Honda,Civic
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170,5,11.57,17.95,10.71363969,2.887590115,5.135798437,Mercedes-Benz,New
Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,11.57,3.7,10.71539507,1.30833282,4.591071262,Honda,Amaze
Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22,1197,81.8,5,11.57,5.43,10.44009788,1.691939134,4.404277244,Maruti,Swift
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,Third,17,1086,94,5,11.57,1.67,11.29922469,0.512823626,,Hyundai,Santro
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171,7,11.57,13.49,11.42119387,2.60194867,5.141663557,Toyota,Fortuner
Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,11.57,2.85,10.56617553,1.047318994,4.34120464,Chevrolet,Beat
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,11.57,4.75,11.32659589,1.558144618,4.639764831,Skoda,Rapid
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,11.57,9.9,10.62820607,2.292534757,4.511957804,Maruti,Ciaz
Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444,4,128,37,10.04324949,3.610917913,6.095824562,Audi,RS5
BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190,5,60.88,26.5,10.77895629,3.277144733,5.247024072,BMW,3
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,11.57,23.32,10.78340471,3.149311361,5.160950055,Audi,A4
Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74,5,11.57,6.25,10.46310334,1.832581464,4.304065093,Maruti,Swift
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,11.57,30,10.47098647,3.401197382,5.894127314,Mercedes-Benz,S
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,11.57,9.86,10.9081554,2.288486169,4.639764831,Skoda,Rapid
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,11.57,8.5,11.82771431,2.140066163,4.92797806,Skoda,Superb
Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,11.57,4.23,9.569552096,1.442201993,4.010962953,Hyundai,EON
